Date,MIN,MAX,Modal
01-01-2011,NO TRANSACTIONS DUE TO SATURDAY,,
02-01-2011,NO TRANSACTIONS DUE TO SUNDAY,,
03-01-2011,7000/-,8400/-,7500/-
04-01-2011,7000/-,8500/-,6200/-
05-01-2011,6600/-,7500/-,7000/-
06-01-2011,6600/-,7500/-,7000/-
07-01-2011,6600/-,7500/-,7000/-
08-01-2011,NO TRANSACTIONS DUE TO SATURDAY,,
09-01-2011,NO TRANSACTIONS DUE TO SUNDAY,,
10-01-2011,6000/-,8000/-,7500/-
11-01-2011,6000/-,8000/-,7500/-
12-01-2011,6000/-,7800/-,7400/-
13-01-2011,6000/-,7800/-,7400/-
14-01-2011,NO TRANSACTIONS DUE TO BHOGI,,
15-01-2011,NO TRANSACTIONS DUE TO SANKRANTHI,,
16-01-2011,NO TRANSACTIONS DUE TO SUNDAY,,
17-01-2011,6000/-,7300/-,7000/-
18-01-2011,6000/-,7300/-,7000/-
19-01-2011,6500/-,7500/-,7200/-
20-01-2011,7000/-,8000/-,7600/-
21-01-2011,7100/-,8100/-,8600/-
22-01-2011,NO TRANSACTIONS DUE TO SATURDAY,,
23-01-2011,NO TRANSACTIONS DUE TO SUNDAY,,
24-01-2011,7000/-,8000/-,7500/-
25-01-2011,7000/-,8000/-,7400/-
26-01-2011,NO TRANSACTIONS DUE TO REPUBLIC DAY,,
27-01-2011,7600/-,8400/-,8000/-
28-01-2011,7000/-,8100/-,7500/-
29-01-2011,NO TRANSACTIONS DUE TO SATURDAY,,
30-01-2011,NO TRANSACTIONS DUE TO SUNDAY,,
31-01-2011,6000/-,8300/-,7800/-
01-02-2011,7000/-,8300/-,8000/-
02-02-2011,7000/-,8600/-,8000/-
03-02-2011,7500/-,8600/-,8000/-
04-02-2011,7500/-,8600/-,8200/-
05-02-2011,NO TRANSACTIONS DUE TO SATURDAY,,
06-02-2011,NO TRANSACTIONS DUE TO SUNDAY,,
07-02-2011,7500/-,9000/-,8500/-
08-02-2011,8000/-,9300/-,9000/-
09-02-2011,8000/-,9800/-,9500/-
10-02-2011,8000/-,10300/-,9500/-
11-02-2011,7000/-,9200/-,8500/-
12-02-2011,NO TRANSACTIONS DUE TO SATURDAY,,
13-02-2011,NO TRANSACTIONS DUE TO SUNDAY,,
14-02-2011,7000/-,9000/-,8500/-
15-02-2011,NO TRANSACTIONS DUE TO STRIKE CALL FOR THE COMMISSION AGENTS SHOPS CLERKS,,
16-02-2011,7000/-,9200/-,8800/-
17-02-2011,7500/-,8800/-,8500/-
18-02-2011,7500/-,8800/-,8500/-
19-02-2011,NO TRANSACTIONS DUE TO SATURDAY,,
20-02-2011,NO TRANSACTIONS DUE TO SUNDAY,,
21-02-2011,7500/-,8800/-,8500/-
22-02-2011,7500/-,9100/-,8500/-
23-02-2011,8000/-,9200/-,9000/-
24-02-2011,7000/-,9200/-,8900/-
25-02-2011,7000/-,9200,8900/-
26-02-2011,NO TRANSACTIONS DUE TO SATURDAY,,
27-02-2011,NO TRANSACTIONS DUE TO SUNDAY,,
28-02-2011,8000/-,9200/-,8700/-
01-03-2011,7500/-,9000/-,8500/-
02-03-2011,NO TRANSACTIONS DUE TO SIVARATHRI,,
03-03-2011,8000/-,8800/-,8400/-
04-03-2011,7500/-,8600/-,8600/-
05-03-2011,NO TRANSACTIONS DUE TO SATURDAY,,
06-03-2011,NO TRANSACTIONS DUE TO SUNDAY,,
07-03-2011,7500/-,8800/-,8500/-
08-03-2011,7500/-,8800/-,8500/-
09-03-2011,7400/-,8800/-,8000/-
10-03-2011,7500/-,8600/-,8200/-
11-03-2011,8000/-,8600/-,8200/-
12-03-2011,NO TRANSACTIONS DUE TO SATURDAY,,
13-03-2011,NO TRANSACTIONS DUE TO SUNDAY,,
14-03-2011,7500/-,8600/-,8200/-
15-03-2011,7500/-,8600/-,8000/-
16-03-2011,7500/-,8600/-,8500/-
17-03-2011,7500/-,8600/-,8200/-
18-03-2011,7500/-,8600/-,8200/-
19-03-2011,NO TRANSACTIONS DUE TO SATURDAY,,
20-03-2011,NO TRANSACTIONS DUE TO SUNDAY,,
21-03-2011,7500/-,8600/-,8000/-
22-03-2011,7500/-,8600/-,8000/-
23-03-2011,7500/-,8700/-,8600/-
24-03-2011,7500/-,8500/-,8000/-
25-03-2011,7500/-,8500/-,8300/-
26-03-2011,NO TRANSACTIONS DUE TO SATURDAY,,
27-03-2011,NO TRANSACTIONS DUE TO SUNDAY,,
28-03-2011,7000/-,8300/-,8200/-
29-03-2011,7500/-,8400/-,8000/-
30-03-2011,,,
31-03-2011,,,
01-04-2011,7000/-,8400/-,8000/-
02-04-2011,8000/-,8400/-,8200/-
03-04-2011,NO TRANSACTIONS DUE TO SUNDAY,,
04-04-2011,NO TRANSACTIONS DUE TO UDAGI,,
05-04-2011,NO TRANSACTIONS DUE TO JAGJEEVANRAM JAYANTHI,,
06-04-2011,7500/-,8600/-,8200/-
07-04-2011,8000/-,8700/-,8500/-
08-04-2011,7500/-,8600/-,8000/-
09-04-2011,NO TRANSACTIONS DUE TO SATURDAY,,
10-04-2011,NO TRANSACTIONS DUE TO SUNDAY,,
11-04-2011,8000/-,9000/-,8500/-
12-04-2011,NO TRANSACTIONS DUE TO SRI RAMANAVAMI,,
13-04-2011,8000/-,9500/-,9300/-
14-04-2011,NO TRANSACTIONS DUE TO AMBETHKAR JAYANTHI,,
15-04-2011,8000/-,9300/-,8800/-
16-04-2011,NO TRANSACTIONS DUE TO SATURDAY,,
17-04-2011,NO TRANSACTIONS DUE TO SUNDAY,,
18-04-2011,7000/-,9000/-,8600/-
19-04-2011,8000/-,9200/-,9000/-
20-04-2011,7000/-,9300/-,9000/-
21-04-2011,9000/-,9500/-,9300/-
22-04-2011,NO TRANSACTIONS DUE TO GOOD FRIDAY,,
23-04-2011,NO TRANSACTIONS DUE TO SATURDAY,,
24-04-2011,NO TRANSACTIONS DUE TO SUNDAY,,
25-04-2011,8000/-,9500/-,9000/-
26-04-2011,8000/-,9500/-,9300/-
27-04-2011,8000/-,9500/-,9300/-
28-04-2011,8000/-,9200/-,8700/-
29-04-2011,8000/-,9200/-,9000/-
30-04-2011,NO TRANSACTIONS DUE TO SATURDAY,,
01-05-2011,NO TRANSACTIONS DUE TO SUNDAY,,
02-05-2011,8000/-,8800/-,8500/-
03-05-2011,8000/-,8600/-,8000/-
04-05-2011,8000/-,8900/-,8500/-
05-05-2011,8000/-,8900/-,8700/-
06-05-2011,7500/-,8800/-,8600/-
07-05-2011,NO TRANSACTIONS DUE TO SATURDAY,,
08-05-2011,NO TRANSACTIONS DUE TO SUNDAY,,
09-05-2011,7500/-,8800/-,8600/-
10-05-2011,7000/-,8600/-,8000/-
11-05-2011,7500/-,8800/-,8500/-
12-05-2011,7500/-,8800/-,8500/-
13-05-2011,7500/-,8300/-,7800/-
14-05-2011,NO TRANSACTIONS DUE TO SATURDAY,,
15-05-2011,NO TRANSACTIONS DUE TO SUNDAY,,
16-05-2011,Summar Holidays from 16-5-2011 to 05-06-2011,,
17-05-2011,Summar Holidays from 16-5-2011 to 05-06-2012,,
18-05-2011,Summar Holidays from 16-5-2011 to 05-06-2013,,
19-05-2011,Summar Holidays from 16-5-2011 to 05-06-2014,,
20-05-2011,Summar Holidays from 16-5-2011 to 05-06-2015,,
21-05-2011,Summar Holidays from 16-5-2011 to 05-06-2016,,
22-05-2011,Summar Holidays from 16-5-2011 to 05-06-2017,,
